,group1,group2,signf
264,p05_gpcc-octree-predlift_r02,p05_gpcc-octree-raht_r02,0.0
265,p05_gpcc-octree-predlift_r02,p05_gpcc-octree-raht_r03,-1.0
266,p05_gpcc-octree-predlift_r02,p05_gpcc-octree-raht_r04,-1.0
267,p05_gpcc-octree-predlift_r02,p05_gpcc-octree-raht_r05,-1.0
268,p05_gpcc-octree-predlift_r02,p05_gpcc-octree-raht_r06,-1.0
269,p05_gpcc-octree-predlift_r02,p05_vpcc_r00,0.0
270,p05_gpcc-octree-predlift_r02,p05_vpcc_r01,-1.0
271,p05_gpcc-octree-predlift_r02,p05_vpcc_r02,-1.0
272,p05_gpcc-octree-predlift_r02,p05_vpcc_r03,-1.0
273,p05_gpcc-octree-predlift_r02,p05_vpcc_r04,-1.0
274,p05_gpcc-octree-predlift_r02,p05_vpcc_r05,-1.0
275,p05_gpcc-octree-predlift_r03,p05_gpcc-octree-predlift_r04,-1.0
276,p05_gpcc-octree-predlift_r03,p05_gpcc-octree-predlift_r05,-1.0
277,p05_gpcc-octree-predlift_r03,p05_gpcc-octree-predlift_r06,-1.0
278,p05_gpcc-octree-predlift_r03,p05_gpcc-octree-raht_r02,1.0
279,p05_gpcc-octree-predlift_r03,p05_gpcc-octree-raht_r03,0.0
280,p05_gpcc-octree-predlift_r03,p05_gpcc-octree-raht_r04,0.0
281,p05_gpcc-octree-predlift_r03,p05_gpcc-octree-raht_r05,-1.0
282,p05_gpcc-octree-predlift_r03,p05_gpcc-octree-raht_r06,-1.0
283,p05_gpcc-octree-predlift_r03,p05_vpcc_r00,1.0
284,p05_gpcc-octree-predlift_r03,p05_vpcc_r01,0.0
285,p05_gpcc-octree-predlift_r03,p05_vpcc_r02,0.0
286,p05_gpcc-octree-predlift_r03,p05_vpcc_r03,0.0
287,p05_gpcc-octree-predlift_r03,p05_vpcc_r04,0.0
288,p05_gpcc-octree-predlift_r03,p05_vpcc_r05,-1.0
289,p05_gpcc-octree-predlift_r04,p05_gpcc-octree-predlift_r05,0.0
290,p05_gpcc-octree-predlift_r04,p05_gpcc-octree-predlift_r06,-1.0
291,p05_gpcc-octree-predlift_r04,p05_gpcc-octree-raht_r02,1.0
292,p05_gpcc-octree-predlift_r04,p05_gpcc-octree-raht_r03,1.0
293,p05_gpcc-octree-predlift_r04,p05_gpcc-octree-raht_r04,0.0
294,p05_gpcc-octree-predlift_r04,p05_gpcc-octree-raht_r05,0.0
295,p05_gpcc-octree-predlift_r04,p05_gpcc-octree-raht_r06,-1.0
296,p05_gpcc-octree-predlift_r04,p05_vpcc_r00,1.0
297,p05_gpcc-octree-predlift_r04,p05_vpcc_r01,1.0
298,p05_gpcc-octree-predlift_r04,p05_vpcc_r02,1.0
299,p05_gpcc-octree-predlift_r04,p05_vpcc_r03,0.0
300,p05_gpcc-octree-predlift_r04,p05_vpcc_r04,0.0
301,p05_gpcc-octree-predlift_r04,p05_vpcc_r05,0.0
302,p05_gpcc-octree-predlift_r05,p05_gpcc-octree-predlift_r06,0.0
303,p05_gpcc-octree-predlift_r05,p05_gpcc-octree-raht_r02,1.0
304,p05_gpcc-octree-predlift_r05,p05_gpcc-octree-raht_r03,1.0
305,p05_gpcc-octree-predlift_r05,p05_gpcc-octree-raht_r04,1.0
306,p05_gpcc-octree-predlift_r05,p05_gpcc-octree-raht_r05,0.0
307,p05_gpcc-octree-predlift_r05,p05_gpcc-octree-raht_r06,0.0
308,p05_gpcc-octree-predlift_r05,p05_vpcc_r00,1.0
309,p05_gpcc-octree-predlift_r05,p05_vpcc_r01,1.0
310,p05_gpcc-octree-predlift_r05,p05_vpcc_r02,1.0
311,p05_gpcc-octree-predlift_r05,p05_vpcc_r03,1.0
312,p05_gpcc-octree-predlift_r05,p05_vpcc_r04,0.0
313,p05_gpcc-octree-predlift_r05,p05_vpcc_r05,0.0
314,p05_gpcc-octree-predlift_r06,p05_gpcc-octree-raht_r02,1.0
315,p05_gpcc-octree-predlift_r06,p05_gpcc-octree-raht_r03,1.0
316,p05_gpcc-octree-predlift_r06,p05_gpcc-octree-raht_r04,1.0
317,p05_gpcc-octree-predlift_r06,p05_gpcc-octree-raht_r05,0.0
318,p05_gpcc-octree-predlift_r06,p05_gpcc-octree-raht_r06,0.0
319,p05_gpcc-octree-predlift_r06,p05_vpcc_r00,1.0
320,p05_gpcc-octree-predlift_r06,p05_vpcc_r01,1.0
321,p05_gpcc-octree-predlift_r06,p05_vpcc_r02,1.0
322,p05_gpcc-octree-predlift_r06,p05_vpcc_r03,1.0
323,p05_gpcc-octree-predlift_r06,p05_vpcc_r04,1.0
324,p05_gpcc-octree-predlift_r06,p05_vpcc_r05,0.0
325,p05_gpcc-octree-raht_r02,p05_gpcc-octree-raht_r03,-1.0
326,p05_gpcc-octree-raht_r02,p05_gpcc-octree-raht_r04,-1.0
327,p05_gpcc-octree-raht_r02,p05_gpcc-octree-raht_r05,-1.0
328,p05_gpcc-octree-raht_r02,p05_gpcc-octree-raht_r06,-1.0
329,p05_gpcc-octree-raht_r02,p05_vpcc_r00,-1.0
330,p05_gpcc-octree-raht_r02,p05_vpcc_r01,-1.0
331,p05_gpcc-octree-raht_r02,p05_vpcc_r02,-1.0
332,p05_gpcc-octree-raht_r02,p05_vpcc_r03,-1.0
333,p05_gpcc-octree-raht_r02,p05_vpcc_r04,-1.0
334,p05_gpcc-octree-raht_r02,p05_vpcc_r05,-1.0
335,p05_gpcc-octree-raht_r03,p05_gpcc-octree-raht_r04,-1.0
336,p05_gpcc-octree-raht_r03,p05_gpcc-octree-raht_r05,-1.0
337,p05_gpcc-octree-raht_r03,p05_gpcc-octree-raht_r06,-1.0
338,p05_gpcc-octree-raht_r03,p05_vpcc_r00,0.0
339,p05_gpcc-octree-raht_r03,p05_vpcc_r01,0.0
340,p05_gpcc-octree-raht_r03,p05_vpcc_r02,0.0
341,p05_gpcc-octree-raht_r03,p05_vpcc_r03,-1.0
342,p05_gpcc-octree-raht_r03,p05_vpcc_r04,-1.0
343,p05_gpcc-octree-raht_r03,p05_vpcc_r05,-1.0
344,p05_gpcc-octree-raht_r04,p05_gpcc-octree-raht_r05,-1.0
345,p05_gpcc-octree-raht_r04,p05_gpcc-octree-raht_r06,-1.0
346,p05_gpcc-octree-raht_r04,p05_vpcc_r00,1.0
347,p05_gpcc-octree-raht_r04,p05_vpcc_r01,1.0
348,p05_gpcc-octree-raht_r04,p05_vpcc_r02,0.0
349,p05_gpcc-octree-raht_r04,p05_vpcc_r03,0.0
350,p05_gpcc-octree-raht_r04,p05_vpcc_r04,0.0
351,p05_gpcc-octree-raht_r04,p05_vpcc_r05,0.0
352,p05_gpcc-octree-raht_r05,p05_gpcc-octree-raht_r06,0.0
353,p05_gpcc-octree-raht_r05,p05_vpcc_r00,1.0
354,p05_gpcc-octree-raht_r05,p05_vpcc_r01,1.0
355,p05_gpcc-octree-raht_r05,p05_vpcc_r02,1.0
356,p05_gpcc-octree-raht_r05,p05_vpcc_r03,1.0
357,p05_gpcc-octree-raht_r05,p05_vpcc_r04,0.0
358,p05_gpcc-octree-raht_r05,p05_vpcc_r05,0.0
359,p05_gpcc-octree-raht_r06,p05_vpcc_r00,1.0
360,p05_gpcc-octree-raht_r06,p05_vpcc_r01,1.0
361,p05_gpcc-octree-raht_r06,p05_vpcc_r02,1.0
362,p05_gpcc-octree-raht_r06,p05_vpcc_r03,1.0
363,p05_gpcc-octree-raht_r06,p05_vpcc_r04,1.0
364,p05_gpcc-octree-raht_r06,p05_vpcc_r05,0.0
365,p05_vpcc_r00,p05_vpcc_r01,-1.0
366,p05_vpcc_r00,p05_vpcc_r02,-1.0
367,p05_vpcc_r00,p05_vpcc_r03,-1.0
368,p05_vpcc_r00,p05_vpcc_r04,-1.0
369,p05_vpcc_r00,p05_vpcc_r05,-1.0
370,p05_vpcc_r01,p05_vpcc_r02,0.0
371,p05_vpcc_r01,p05_vpcc_r03,-1.0
372,p05_vpcc_r01,p05_vpcc_r04,-1.0
373,p05_vpcc_r01,p05_vpcc_r05,-1.0
374,p05_vpcc_r02,p05_vpcc_r03,0.0
375,p05_vpcc_r02,p05_vpcc_r04,0.0
376,p05_vpcc_r02,p05_vpcc_r05,-1.0
377,p05_vpcc_r03,p05_vpcc_r04,0.0
378,p05_vpcc_r03,p05_vpcc_r05,0.0
379,p05_vpcc_r04,p05_vpcc_r05,0.0
380,p07_geocnn_r01,p07_geocnn_r02,0.0
381,p07_geocnn_r01,p07_geocnn_r03,-1.0
382,p07_geocnn_r01,p07_geocnn_r04,-1.0
383,p07_geocnn_r01,p07_gpcc-octree-predlift_r02,1.0
384,p07_geocnn_r01,p07_gpcc-octree-predlift_r03,0.0
385,p07_geocnn_r01,p07_gpcc-octree-predlift_r04,-1.0
386,p07_geocnn_r01,p07_gpcc-octree-predlift_r05,-1.0
387,p07_geocnn_r01,p07_gpcc-octree-predlift_r06,-1.0
388,p07_geocnn_r01,p07_gpcc-octree-raht_r02,1.0
389,p07_geocnn_r01,p07_gpcc-octree-raht_r03,0.0
390,p07_geocnn_r01,p07_gpcc-octree-raht_r04,0.0
391,p07_geocnn_r01,p07_gpcc-octree-raht_r05,-1.0
392,p07_geocnn_r01,p07_gpcc-octree-raht_r06,-1.0
393,p07_geocnn_r01,p07_vpcc_r00,1.0
394,p07_geocnn_r01,p07_vpcc_r01,1.0
395,p07_geocnn_r01,p07_vpcc_r02,0.0
396,p07_geocnn_r01,p07_vpcc_r03,0.0
397,p07_geocnn_r01,p07_vpcc_r04,-1.0
398,p07_geocnn_r01,p07_vpcc_r05,-1.0
399,p07_geocnn_r02,p07_geocnn_r03,-1.0
400,p07_geocnn_r02,p07_geocnn_r04,-1.0
401,p07_geocnn_r02,p07_gpcc-octree-predlift_r02,1.0
