src,ppc,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49,obs50,obs51,obs52,obs53,obs54,obs55,obs56,obs57,obs58,obs59,obs60,obs61,obs62,obs63
p01,p01_vpcc_r03,4,2,3,4,4,4,3,3,3,3,4,2,4,4,2,3,3,2,3,4,3,2,4,4,3,4,4,5,3,2,4,4,4,3,4,2,3,4,3,1,4,2,5,4,3,3,2,3,4,2,2,2,4,3,4,3,3,4.0,2.0,3.0,,,
p01,p01_vpcc_r04,4,5,4,4,5,4,2,4,3,4,4,3,5,3,4,5,4,4,2,2,3,3,3,2,2,3,3,2,4,4,2,4,4,4,3,4,2,4,2,3,3,2,4,4,3,3,5,5,3,4,4,5,4,4,3,3,3,2.0,,,,,
p01,p01_vpcc_r05,4,4,4,4,5,3,5,5,2,5,4,5,5,3,5,4,4,5,3,4,5,5,4,5,4,4,2,3,3,5,5,4,5,4,4,2,4,4,4,4,4,3,4,2,4,4,4,3,4,5,4,5,5,2,3,4,3,4.0,2.0,,,,
p05,p05_geocnn_r01,1,1,2,3,1,2,2,2,1,2,3,3,2,2,2,3,3,1,2,1,2,2,2,2,2,2,2,2,3,3,3,1,2,1,1,3,1,2,1,2,1,3,4,1,1,2,1,3,4,2,1,1,1,1,1,1,2,1.0,1.0,1.0,1.0,,
p05,p05_geocnn_r02,4,3,3,2,3,3,4,4,2,4,3,2,1,3,2,4,4,2,3,1,2,4,4,1,4,3,2,3,2,4,3,2,2,1,2,2,3,3,3,2,2,2,2,1,4,1,4,2,2,4,4,2,4,3,2,2,2,2.0,3.0,3.0,2.0,,
p05,p05_geocnn_r03,2,4,3,5,5,4,3,5,4,5,4,3,2,2,4,4,3,3,2,2,2,3,5,3,2,5,3,2,2,3,2,5,4,5,3,4,3,1,2,3,3,2,4,4,3,3,3,4,3,4,4,4,4,3,5,4,3,,,,,,
p05,p05_geocnn_r04,3,2,3,3,5,2,4,3,4,4,4,4,4,2,3,2,3,4,3,3,3,4,3,1,2,4,4,4,3,4,4,2,3,1,2,3,2,3,3,3,1,2,2,2,1,4,1,3,5,4,4,3,3,3,4,3,4,3.0,3.0,,,,
p05,p05_gpcc-octree-predlift_r02,2,2,4,3,2,1,3,1,4,1,2,1,3,1,1,1,2,3,1,1,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,5,2,1,1,4,2,1,1,2,1,1,1,1,2,2,1,2,1,1,2,1,1,2.0,2.0,1.0,,,
p05,p05_gpcc-octree-predlift_r03,3,3,3,4,2,3,2,4,3,4,2,2,3,3,3,4,3,2,4,3,3,3,2,2,3,3,3,3,3,3,2,3,3,3,3,2,4,3,4,1,2,4,3,3,3,3,3,3,5,3,2,1,3,3,3,4,3,4.0,3.0,3.0,,,
p05,p05_gpcc-octree-predlift_r04,4,2,3,3,4,3,4,3,4,3,2,3,4,3,3,4,4,4,4,3,3,4,3,3,4,2,3,3,4,5,4,2,1,4,4,4,4,5,4,3,4,4,4,3,5,4,3,3,5,4,2,3,4,4,3,4,3,4.0,3.0,,,,
p05,p05_gpcc-octree-predlift_r05,4,4,3,2,4,4,4,5,5,4,3,4,4,4,5,4,5,5,5,5,5,5,4,5,4,4,4,4,4,3,2,3,4,3,3,4,3,3,4,4,4,5,4,4,4,4,3,4,4,4,4,4,5,5,4,4,4,5.0,4.0,3.0,,,
p05,p05_gpcc-octree-predlift_r06,3,4,4,4,5,4,4,5,5,5,5,4,4,5,5,4,5,5,5,2,4,5,5,4,4,4,5,4,3,2,4,5,4,5,4,3,4,5,4,4,4,3,5,4,4,4,5,3,3,5,5,4,4,5,3,4,3,4.0,4.0,5.0,5.0,4.0,
p05,p05_gpcc-octree-raht_r02,1,1,1,1,1,2,1,1,1,2,1,3,2,1,1,2,2,1,2,2,3,4,1,1,1,1,2,1,1,2,1,2,1,2,1,3,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,4.0,1.0,1.0,1.0,,
p05,p05_gpcc-octree-raht_r03,3,3,3,3,3,2,2,2,2,4,3,1,2,2,2,4,3,3,3,2,2,3,3,2,2,2,3,4,2,3,3,1,3,2,2,2,3,2,1,3,3,3,2,3,5,2,3,2,1,2,2,2,3,3,3,2,2,2.0,3.0,4.0,2.0,,
p05,p05_gpcc-octree-raht_r04,3,5,3,4,3,4,2,5,4,4,2,2,3,3,4,3,3,2,4,4,4,2,4,2,5,3,4,3,3,2,4,4,4,3,2,3,4,3,3,2,3,4,2,3,4,5,3,3,3,4,2,3,5,3,3,5,4,4.0,3.0,4.0,3.0,4.0,
p05,p05_gpcc-octree-raht_r05,3,3,3,4,4,4,4,3,5,4,4,4,4,4,5,3,4,5,4,5,3,2,5,5,4,4,4,3,5,4,4,4,5,4,3,4,5,5,3,3,3,5,5,4,4,3,4,5,3,4,4,5,4,3,4,4,3,3.0,4.0,5.0,4.0,,
p05,p05_gpcc-octree-raht_r06,5,5,5,3,5,4,5,5,3,5,3,4,3,4,4,4,3,5,3,4,5,5,5,5,5,3,4,3,4,4,4,4,5,4,4,5,5,2,5,5,4,5,5,4,3,5,4,3,3,5,4,5,4,5,4,5,4,4.0,4.0,4.0,3.0,4.0,
p05,p05_vpcc_r00,1,2,5,2,1,3,4,2,1,1,1,1,4,2,3,1,3,4,1,2,1,3,3,1,1,2,3,3,2,4,3,1,5,2,1,3,2,1,1,1,3,2,2,2,3,1,1,2,2,1,3,2,2,2,2,1,2,2.0,2.0,2.0,1.0,2.0,3.0
p05,p05_vpcc_r01,3,3,2,2,2,2,3,3,3,3,2,2,3,4,3,2,2,5,2,1,3,3,4,4,2,3,2,2,2,4,3,2,3,3,2,3,1,2,4,3,2,2,3,1,4,3,2,3,2,4,3,4,2,4,2,3,1,2.0,4.0,,,,
p05,p05_vpcc_r02,5,5,4,3,3,3,4,2,4,3,3,2,2,4,3,4,3,2,2,2,3,4,4,2,2,2,2,3,4,3,4,2,1,3,3,3,2,4,3,3,4,2,4,3,5,2,2,2,2,4,2,3,4,3,2,3,1,3.0,3.0,,,,
p05,p05_vpcc_r03,2,4,5,2,4,4,3,4,1,2,4,4,4,3,3,4,2,5,3,3,3,3,5,3,3,4,2,4,3,4,4,4,3,4,3,3,3,4,4,4,3,3,1,4,3,5,4,4,4,3,3,4,4,3,4,2,4,2.0,3.0,2.0,3.0,,
p05,p05_vpcc_r04,4,4,4,3,3,4,3,5,4,4,2,4,5,3,3,2,3,3,4,3,4,4,3,5,4,4,3,3,4,3,4,2,5,3,4,4,5,2,4,4,3,3,3,4,3,4,4,2,3,2,4,4,3,3,3,3,4,3.0,4.0,4.0,3.0,3.0,
p05,p05_vpcc_r05,3,3,2,5,4,4,4,3,4,3,4,3,4,3,3,4,3,4,4,4,5,2,4,4,3,4,5,5,5,3,3,4,4,3,4,4,3,5,3,5,4,4,5,5,3,3,3,4,4,2,4,2,3,3,2,4,4,4.0,4.0,5.0,,,
p07,p07_geocnn_r01,2,2,1,4,2,3,3,2,1,3,2,3,1,1,3,3,3,5,3,5,4,4,3,1,3,4,4,2,2,3,3,2,1,2,2,2,3,3,3,1,2,2,3,4,4,4,3,2,2,4,5,3,5,2,3,4,3,2.0,,,,,
p07,p07_geocnn_r02,3,4,3,3,2,4,2,2,5,3,5,4,3,4,3,3,2,3,3,4,3,2,4,5,5,4,2,4,4,2,4,3,3,3,2,5,3,4,4,3,3,2,4,4,3,3,1,3,4,4,3,3,3,1,2,5,2,3.0,,,,,
p07,p07_geocnn_r03,3,4,5,4,3,5,5,4,4,4,5,3,4,3,5,5,5,5,4,5,2,4,5,3,5,5,5,4,4,3,5,5,4,3,2,4,5,5,3,4,2,5,3,5,4,4,4,4,3,5,4,3,4,5,3,4,5,5.0,4.0,,,,
p07,p07_geocnn_r04,5,5,4,3,2,4,5,3,3,5,5,3,3,5,4,5,2,5,4,3,5,1,4,5,5,5,5,5,5,3,4,4,4,4,4,5,4,5,5,4,4,4,4,5,3,5,3,4,4,4,4,5,3,2,4,4,4,4.0,5.0,3.0,,,
p07,p07_gpcc-octree-predlift_r02,1,1,2,2,2,1,2,1,3,1,1,3,1,1,1,1,1,1,1,1,2,1,2,2,1,2,1,1,1,1,2,1,1,1,1,3,1,1,2,1,1,3,3,1,1,1,1,3,2,3,1,1,1,1,1,4,1,1.0,,,,,
p07,p07_gpcc-octree-predlift_r03,2,3,2,3,4,1,2,3,3,2,3,4,2,1,2,2,2,3,2,2,2,2,4,3,3,5,4,3,3,2,1,2,2,1,3,3,1,5,4,4,2,2,3,3,3,4,2,2,3,3,1,3,2,4,2,5,1,4.0,3.0,2.0,,,
p07,p07_gpcc-octree-predlift_r04,5,4,2,5,4,4,4,4,4,4,4,4,4,5,4,3,5,3,2,5,5,3,3,3,2,1,5,2,4,3,3,3,3,2,4,4,4,2,4,5,5,3,3,4,4,4,5,4,2,5,4,4,4,2,3,5,4,4.0,3.0,2.0,4.0,,
p07,p07_gpcc-octree-predlift_r05,5,4,4,5,4,4,3,4,5,3,5,4,5,5,3,4,4,5,3,3,5,5,4,4,4,4,3,5,4,4,2,4,4,5,4,4,3,3,5,4,4,3,5,5,5,4,5,5,4,5,5,5,4,5,4,5,4,5.0,5.0,5.0,,,
p07,p07_gpcc-octree-predlift_r06,4,4,4,4,5,5,5,5,5,4,4,5,4,5,5,5,5,4,5,5,4,4,5,3,4,5,5,5,3,5,5,5,3,5,5,5,5,5,5,5,4,4,5,5,5,5,4,5,5,5,5,4,3,5,5,3,5,5.0,4.0,3.0,,,
p07,p07_gpcc-octree-raht_r02,1,1,1,1,1,2,1,1,2,1,1,1,1,2,2,1,2,4,1,1,1,1,2,1,1,1,1,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,3,1,2,1,2,1,1,1,1,5.0,1.0,1.0,1.0,2.0,2.0
p07,p07_gpcc-octree-raht_r03,3,3,2,2,4,3,3,3,2,3,4,2,2,2,3,2,2,2,1,1,4,2,3,1,2,3,1,2,2,4,1,1,3,2,2,2,2,2,1,2,3,3,2,3,2,2,3,2,2,2,4,3,3,3,2,4,2,1.0,,,,,
p07,p07_gpcc-octree-raht_r04,2,5,3,3,2,4,1,3,4,3,4,3,2,3,4,3,3,2,4,4,5,3,4,4,4,3,2,4,4,3,4,4,4,4,3,4,3,2,3,3,2,3,3,3,3,3,2,4,4,4,3,2,2,2,2,5,2,3.0,,,,,
p07,p07_gpcc-octree-raht_r05,5,5,4,3,5,5,4,5,3,4,3,5,5,5,4,4,3,4,4,5,4,4,5,5,5,5,5,5,4,4,4,5,5,3,5,3,5,3,5,3,4,4,5,3,4,5,4,5,3,5,5,4,5,4,4,4,4,4.0,5.0,4.0,,,
p07,p07_gpcc-octree-raht_r06,5,4,2,5,5,4,5,3,4,4,5,5,4,5,4,3,4,4,5,5,5,4,3,4,3,4,5,5,4,5,5,5,4,3,5,4,5,4,4,4,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,4,4.0,5.0,3.0,5.0,,
p07,p07_vpcc_r00,2,1,1,2,3,1,1,1,1,2,1,1,3,1,3,2,2,1,1,1,3,2,2,1,1,2,1,2,2,1,3,2,4,1,1,2,1,4,2,2,2,4,1,3,1,1,2,2,1,1,1,3,1,1,1,2,1,3.0,3.0,1.0,,,
p07,p07_vpcc_r01,2,2,4,2,2,2,2,3,3,3,1,3,2,2,2,1,2,4,2,2,2,2,1,2,2,2,3,1,4,1,2,1,1,2,2,3,2,1,2,2,4,2,2,1,2,1,3,3,2,1,2,2,3,2,1,5,1,2.0,,,,,
p07,p07_vpcc_r02,3,1,3,3,3,3,3,2,4,3,2,4,3,2,2,4,3,4,4,2,2,1,3,3,4,3,4,3,2,3,3,1,3,3,2,4,4,2,2,2,2,2,2,2,3,2,2,3,3,2,4,2,4,4,2,4,2,3.0,5.0,2.0,,,
p07,p07_vpcc_r03,2,2,1,2,3,2,3,5,3,3,3,3,2,3,3,3,3,3,3,2,3,3,1,3,3,3,1,3,2,3,3,5,3,3,2,5,2,3,2,4,3,3,3,4,3,5,4,3,5,3,3,3,2,4,2,3,4,2.0,3.0,4.0,3.0,,
p07,p07_vpcc_r04,4,4,2,4,5,2,4,4,3,3,4,4,3,4,4,4,3,3,3,4,3,3,2,3,3,2,4,3,4,2,3,3,3,3,3,4,4,3,3,3,4,4,3,3,4,4,4,4,3,5,3,4,3,2,3,5,3,4.0,3.0,3.0,4.0,,
p07,p07_vpcc_r05,4,4,3,4,5,5,4,4,4,4,5,4,4,3,3,2,4,5,5,4,5,4,3,4,3,4,3,3,5,3,4,4,5,4,2,5,5,4,4,3,2,3,4,3,4,3,5,4,5,4,4,3,2,3,4,3,3,2.0,5.0,3.0,4.0,,
p12,p12_geocnn_r01,4,3,5,4,2,4,5,4,5,5,4,5,4,5,4,3,5,4,5,3,5,4,5,4,3,4,4,4,5,4,4,4,5,4,3,4,3,3,4,4,3,5,5,5,3,4,5,5,3,4,4,3,4,4,4,4,4,4.0,2.0,,,,
p12,p12_geocnn_r02,4,5,4,4,5,5,5,4,5,4,5,5,5,5,4,5,4,4,3,5,5,4,5,5,5,4,5,5,5,4,4,5,5,4,4,5,4,5,4,5,4,4,5,4,5,5,5,5,5,3,3,4,5,5,4,5,5,4.0,3.0,,,,
p12,p12_geocnn_r03,5,5,5,5,5,5,5,5,4,5,4,5,4,4,5,3,5,5,5,4,5,5,5,4,4,5,5,5,4,5,5,5,5,5,5,5,5,4,5,4,5,4,5,5,4,5,5,5,4,5,4,5,4,4,4,5,5,,,,,,
p12,p12_geocnn_r04,5,4,5,5,4,5,5,4,4,4,5,5,5,4,4,5,4,5,4,4,5,4,5,5,4,4,4,5,5,5,5,5,5,4,5,5,5,5,3,4,5,5,4,5,5,5,5,4,5,5,4,5,5,5,5,4,5,5.0,4.0,4.0,,,
p12,p12_gpcc-octree-predlift_r02,1,1,1,3,1,1,4,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2,1,1,1,1,1,1,1,1,1,1,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1.0,1.0,1.0,,,
p12,p12_gpcc-octree-predlift_r03,2,3,3,3,3,1,2,2,2,4,2,1,2,2,2,4,3,3,2,4,3,2,3,2,3,3,4,3,2,4,3,3,3,2,3,2,3,2,2,2,2,2,2,3,5,2,4,2,1,4,3,3,2,4,2,2,2,2.0,4.0,3.0,2.0,,
p12,p12_gpcc-octree-predlift_r04,5,4,3,5,5,4,4,5,4,5,5,5,5,4,4,4,4,4,4,5,4,3,3,4,3,4,5,4,5,5,5,4,4,3,4,5,5,5,4,5,4,5,5,5,4,4,5,4,5,5,4,5,5,5,4,5,3,5.0,5.0,3.0,4.0,,
p12,p12_gpcc-octree-predlift_r05,4,4,5,4,5,5,4,5,4,4,4,5,5,5,4,3,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,3,4,5,4,4,5,4,4,4,4,4,4,5,5,3,4,3,4,3,5,5,5,4,5,3,4.0,4.0,5.0,4.0,5.0,
p12,p12_gpcc-octree-predlift_r06,5,5,5,3,4,5,5,4,5,4,5,5,5,5,4,5,4,3,2,4,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,3,5,5,4,4,5,4,4,5,5,5,5,5,4,5,5,5,5,3,5,5,4.0,4.0,,,,
p12,p12_gpcc-octree-raht_r02,1,1,1,1,2,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,,,
p12,p12_gpcc-octree-raht_r03,4,2,2,2,3,2,2,2,4,3,1,2,3,2,2,4,4,3,3,1,2,3,1,2,3,3,3,2,1,4,1,3,2,2,2,3,4,2,3,4,3,4,2,1,1,2,3,3,3,1,2,3,3,1,1,3,2,3.0,2.0,,,,
p12,p12_gpcc-octree-raht_r04,5,5,4,4,5,3,5,4,4,3,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4,5,5,4,5,3,4,4,3,4,5,5,2,5,5,4,4,4,4,4,5,5,3,4,4,5,5,4,4,3,3,5,2,5.0,4.0,3.0,,,
p12,p12_gpcc-octree-raht_r05,3,5,5,5,5,4,4,5,4,4,3,5,5,4,4,5,5,4,5,5,5,4,3,5,5,4,4,5,5,4,5,5,3,4,4,5,4,4,4,2,5,4,5,3,5,3,5,4,5,3,4,5,5,4,5,4,3,4.0,5.0,4.0,5.0,,
p12,p12_gpcc-octree-raht_r06,5,5,4,2,5,5,5,5,4,4,4,5,5,5,4,4,5,5,5,5,4,4,5,5,5,5,5,5,5,4,5,5,5,3,4,4,5,5,5,5,3,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,4.0,,,
p12,p12_vpcc_r00,1,1,4,3,1,3,1,1,3,2,1,2,2,1,1,1,2,2,1,1,1,2,3,1,1,3,3,1,1,2,1,1,1,1,2,1,2,1,1,3,2,1,1,4,1,1,2,1,3,1,1,2,3,1,1,1,2,2.0,1.0,2.0,,,
p12,p12_vpcc_r01,4,2,2,2,3,1,2,2,2,2,1,3,5,3,2,3,4,3,2,2,2,3,1,3,3,3,3,3,1,3,2,3,1,3,2,2,3,2,3,4,4,3,3,2,2,4,2,3,4,1,3,4,3,2,1,3,3,3.0,2.0,,,,
p12,p12_vpcc_r02,3,3,4,3,3,5,5,3,2,4,3,3,4,5,3,3,4,3,5,3,2,2,5,4,4,2,3,4,3,3,5,3,4,2,5,4,4,3,2,5,3,3,4,3,5,3,4,2,4,5,3,4,5,4,4,4,4,3.0,2.0,2.0,5.0,,
p12,p12_vpcc_r03,5,5,4,5,5,4,4,5,5,4,4,3,4,5,4,5,3,4,4,4,4,4,4,4,4,3,5,3,5,4,4,5,4,4,4,4,4,4,4,4,5,4,4,4,4,5,4,5,5,5,4,4,5,5,3,5,4,4.0,4.0,3.0,5.0,,
p12,p12_vpcc_r04,5,4,3,5,5,4,5,5,4,4,5,4,5,5,3,5,5,5,4,5,4,4,4,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,4,5,5,5,4,5,5,5,4,5,5,4,5,5,5,5,5,4,5,5.0,5.0,,,,
p12,p12_vpcc_r05,5,5,3,4,5,5,2,5,5,4,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,3,5,5,3,5,4,4,5,5,5,4,4,5,4,5,4,4,5,4,5,3,5,5,5,5,5,5,5,4,5,5,5.0,,,,,
p19,p19_geocnn_r01,4,4,5,4,4,5,5,3,5,4,5,5,4,5,5,5,5,3,4,5,4,4,5,5,5,5,5,5,4,5,4,5,5,5,5,3,5,5,4,5,4,5,3,5,4,5,4,4,5,4,5,4,5,3,4,4,5,5.0,5.0,4.0,5.0,,
p19,p19_geocnn_r02,5,5,4,5,5,4,5,5,4,5,5,4,5,4,5,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,4,5,3,5,5,5,5,5,5,5,4,5,5,4,5,5,4,5,5,5,5,5,5,5,5.0,5.0,5.0,,,
p19,p19_geocnn_r03,4,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,4,5,3,5,5,4,5,4,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,3,5,5,5,5.0,5.0,,,,
p19,p19_geocnn_r04,5,5,5,4,5,5,3,4,5,5,4,5,3,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5.0,5.0,5.0,5.0,,
p19,p19_gpcc-octree-predlift_r02,2,1,1,2,2,4,1,2,1,2,1,2,2,1,1,2,2,1,1,1,4,4,2,1,1,1,1,2,2,1,4,1,2,1,1,1,1,3,3,2,2,4,2,3,1,1,1,1,1,1,2,1,1,1,1,1,2,2.0,2.0,2.0,,,
p19,p19_gpcc-octree-predlift_r03,5,3,3,3,4,4,4,3,3,4,5,3,4,4,2,2,3,2,3,4,5,4,3,4,3,2,3,3,4,2,4,4,3,4,2,3,3,5,3,3,1,3,5,3,4,2,2,3,4,3,5,2,2,3,3,3,3,2.0,3.0,2.0,5.0,,
p19,p19_gpcc-octree-predlift_r04,3,4,4,5,4,5,4,5,5,5,5,3,5,4,4,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,4,5,5,5.0,5.0,3.0,,,
p19,p19_gpcc-octree-predlift_r05,5,4,5,4,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,4.0,5.0,5.0,,,
p19,p19_gpcc-octree-predlift_r06,5,5,5,4,5,5,4,5,5,5,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,4,5,5,5,4,5,5,4,5,5,5,5,5,4,3,5,3,5,5,5,5,5,5,5,4,5.0,5.0,5.0,5.0,,
p19,p19_gpcc-octree-raht_r02,3,1,1,2,2,1,2,1,1,1,1,1,3,1,1,1,3,2,1,1,2,3,1,1,2,1,1,1,4,1,1,1,1,2,1,2,3,2,1,2,4,1,2,1,1,1,1,1,1,1,1,4,2,1,1,2,1,1.0,1.0,,,,
p19,p19_gpcc-octree-raht_r03,3,4,4,2,3,2,2,4,2,2,3,4,4,3,4,2,4,2,4,4,3,3,3,1,3,2,3,4,4,2,4,3,3,2,2,3,1,2,3,3,2,4,4,3,4,3,2,4,2,3,4,2,3,1,3,1,2,3.0,2.0,,,,
